rule_type,avg_win_rate,min_win_rate,max_win_rate,std_win_rate,total_combinations
movement,0.4727452971972671,0.4638211382113821,0.48381452318460194,0.008643029934620166,4
movement_push,0.4727452971972671,0.4638211382113821,0.48381452318460194,0.008643029934620166,4
movement_pushout,0.47271648220397683,0.45305164319248825,0.5,0.01426342155703596,12
movement_pushrequirement,0.47039425643592875,0.3741496598639456,0.5433333333333333,0.04670916094655876,28
movement_victory,0.4719355139048878,0.4114583333333333,0.5156695156695157,0.0339595173482697,16
push,0.4724889955982393,0.4724889955982393,0.4724889955982393,,1
push_pushout,0.4725002379018009,0.4699404761904762,0.4738139248305607,0.0022170764228260737,3
push_pushrequirement,0.47014201716162607,0.40129449838187703,0.5061728395061729,0.045177195852925164,7
push_victory,0.4720183373069638,0.4220833333333333,0.5029021558872305,0.0350823208741755,4
pushout,0.4725002379018009,0.4699404761904762,0.4738139248305607,0.0022170764228260737,3
pushout_pushrequirement,0.4699542116319047,0.3756218905472637,0.532520325203252,0.04629458497579121,21
pushout_victory,0.47202586746991027,0.40145985401459855,0.5176151761517616,0.03569148415263729,12
pushrequirement,0.47014201716162607,0.40129449838187703,0.5061728395061729,0.045177195852925164,7
pushrequirement_victory,0.46857343026181714,0.2534722222222222,0.5510752688172043,0.0703254031688885,28
victory,0.4720183373069638,0.4220833333333333,0.5029021558872305,0.0350823208741755,4
