Setup_TwoSides.txt,Movement_Move 1 marble exactly 2 spaces in any direction.,Movement_Move 1 marble by 1 space in any direction.,Movement_Move 1 marble by up to 3 spaces in any direction in a straight line.,Movement_Jump over 1 marble or blocker or move a marble by 1 space in any direction,Push_Push a column of marbles by 1 space in any direction,"PushOut_Pushed out marbles return to the center, if it is free. Else they are removed.",PushOut_Pushed out marbles are removed from play,PushOut_Pushed out marbles return to the center. Remove any pre-existing marble.,"PushRequirement_You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",PushRequirement_You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,PushRequirement_You can push opposing marbles if you use fewer or more marbles.,PushRequirement_You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,PushRequirement_You can push opposing marbles if you use more marbles.,"PushRequirement_You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",PushRequirement_You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,Victory_Push out 3 opposing marbles.,Victory_Occupy all goals of your color.,Victory_Occupy 1 goal of each color.,Victory_Occupy 3 non-neighbouring goals.,total_games,player0_wins,player0_win_rate
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,5,0.8333333333333334
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,5,0.8333333333333334
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,9,0.75
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12,9,0.75
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,12,9,0.75
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6,4,0.6666666666666666
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,4,0.6666666666666666
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,4,0.6666666666666666
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12,8,0.6666666666666666
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,12,8,0.6666666666666666
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,4,0.6666666666666666
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6,4,0.6666666666666666
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,4,0.6666666666666666
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6,4,0.6666666666666666
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,4,0.6666666666666666
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,4,0.6666666666666666
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,4,0.6666666666666666
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,4,0.6666666666666666
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6,4,0.6666666666666666
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,4,0.6666666666666666
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,4,0.6666666666666666
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12,8,0.6666666666666666
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,4,0.6666666666666666
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,4,0.6666666666666666
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,4,0.6666666666666666
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,4,0.6666666666666666
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12,7,0.5833333333333334
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,12,7,0.5833333333333334
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12,7,0.5833333333333334
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,12,7,0.5833333333333334
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,24,13,0.5416666666666666
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,3,0.5
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,3,0.5
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,3,0.5
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6,3,0.5
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,3,0.5
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,3,0.5
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,3,0.5
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,3,0.5
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,12,6,0.5
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,3,0.5
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,3,0.5
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,3,0.5
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,3,0.5
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,3,0.5
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,0.5
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,3,0.5
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,12,6,0.5
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,3,0.5
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,12,6,0.5
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6,3,0.5
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,3,0.5
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,3,0.5
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,3,0.5
1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6,3,0.5
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,3,0.5
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,3,0.5
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,3,0.5
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6,3,0.5
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,3,0.5
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,3,0.5
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,3,0.5
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,3,0.5
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,3,0.5
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,3,0.5
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,3,0.5
1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,3,0.5
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,3,0.5
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,3,0.5
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,3,0.5
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,3,0.5
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6,3,0.5
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,12,6,0.5
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,3,0.5
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,3,0.5
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,3,0.5
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,3,0.5
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,18,8,0.4444444444444444
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12,5,0.4166666666666667
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,12,5,0.4166666666666667
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12,5,0.4166666666666667
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,12,5,0.4166666666666667
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12,5,0.4166666666666667
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,2,0.3333333333333333
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12,4,0.3333333333333333
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,2,0.3333333333333333
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6,2,0.3333333333333333
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0.3333333333333333
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6,2,0.3333333333333333
1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,2,0.3333333333333333
1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,18,6,0.3333333333333333
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2,0.3333333333333333
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6,2,0.3333333333333333
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,2,0.3333333333333333
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,2,0.3333333333333333
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,12,4,0.3333333333333333
1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,2,0.3333333333333333
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0.3333333333333333
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,2,0.3333333333333333
1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6,2,0.3333333333333333
1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0.3333333333333333
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,2,0.3333333333333333
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,2,0.3333333333333333
1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0.3333333333333333
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0.3333333333333333
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,12,4,0.3333333333333333
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,2,0.3333333333333333
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,12,3,0.25
1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0.16666666666666666
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,1,0.16666666666666666
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,1,0.16666666666666666
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,1,0.16666666666666666
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0.16666666666666666
1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0.16666666666666666
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,0.16666666666666666
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0.16666666666666666
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0.16666666666666666
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6,1,0.16666666666666666
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0.16666666666666666
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12,2,0.16666666666666666
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,0.16666666666666666
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,1,0.16666666666666666
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0.0
